N° Lector;UBICACIÓN;Estado;Fecha
300;Lector Control De Acceso T2C 1001 Sala CCDD 1T2CLT012  ;;
301;Lector Control De Acceso T2C 1002 Sala Electrica  1T2CLT013;;
302;Lector Control De Acceso T2C 1003 Sala Clima  1T2CLT014;;
303;Lector Control De Acceso T2C 1004 Sala de baterias UPS  1T2CLT001;;
304;Lector Control De Acceso T2C 1006 Sub Estacion  1T2CLT002;;
305;Lector Control De Acceso T2C 1005 Sala Electrica  1T2CLT010;;
306;Lector Control De Acceso T2C 1007 Sub Estacion  1T2CLT002;;
307;Lector Control De Acceso T2C 1008 Sala Clima y Bombeo  1T2CLT011;;
308;Lector Control De Acceso T2C 1009 Sala CCDD  1T2CLT008;;
309;Lector Control De Acceso T2C 1010 Sala Electrica  1T2CLT009;;
310;Lector Control De Acceso T2C 1011 Sala Clima y Bombeo  1T2CLT011;;
311;Lector Control De Acceso T2C 1012 Sala Clima y Bombeo  1T2CLT011;;
312;Lector Control De Acceso T2C 1013 Ingreso Corredor Lado Poniente Interior;;
313;Lector Control De Acceso T2C 1014 Ingreso Corredor Lado Poniente Exterior;;
314;Lector Control De Acceso T2C 1015 Ingreso Corredor Lado Norte Interior;;
315;Lector Control De Acceso T2C 1016 Ingreso Corredor Lado Norte Exterior;;
316;Lector Control De Acceso T2C 1017 Ingreso Escala Primer Nivel;;
317;Lector Control De Acceso T2C 1018 Ingreso Corredor Lado Oriente Interior;;
318;Lector Control De Acceso T2C 1019 Ingreso Corredor Lado Oriente Exterior;;
319;Lector Control De Acceso T2C 1020 Sala CCDD  1T2CLT007;;
320;Lector Control De Acceso T2C 1021 Sala Electrica  1T2CLT006;;
321;Lector Control De Acceso T2C 1022 Ingreso Corredor Lado Sur;;
322;Lector Control De Acceso T2C 1023 Ingreso Corredor Ascensor 23 Sur;;
323;Lector Control De Acceso T2C 1024 Ingreso Corredor Ascensor 23 Norte;;
324;Lector Control De Acceso T2C 1025 Sala de Aseo y Basuras;;
325;Lector Control De Acceso T2C 1026 Sala Clima Corredor Primer Nivel 1T2CLT005;;
326;Lector Control De Acceso T2C 1027 Sala Fotovoltaica Nivel 1T2CLT021  Norte;;
327;Lector Control De Acceso T2C 1028 Sala Fotovoltaica Nivel 1T2CLT022 Sur;;
328;Lector Control De Acceso T2C 1029 Acceso  a subterráneo externo;;
329;Lector Control De Acceso T2C 1030 Acceso  a subterráneo interno;;
330;Lector Control De Acceso T2C 1031 PBB  SALA PTE. C4;;
